title,five_yr_bin,year_publication,authors,journal,volume_pages,sampling_start_date,sampling_end_date,study_area_grids,preferential_hemisphere,preferential_habitat,method,sampling_protocol,type_of_count,attraction_bias,continuous_time,n_snapshot,dist_boat,ship_speed,height_above_water,n_sides,n_observers,on_water_only,ship_followers,other_taxa_recorded,database_or_project,study_purpose,stats_technique,obs
Impact of estuarine fronts on the dispersal of piscivorous birds in the German Bight,2001_2005,2001,Skov and Prins,MEPS,214:279-287,04-1986,05-1993,229,north,oceanic,distance_sampling,buckland,continuous,none_assumed,uninterrupted,NA,"distance intervals (50, 100, 200, 300m)",not specified,not specified,1,1,yes,not specified,NA,None,distribution,"modelling, qualitative, multivariate","""Standard line transect methods for recording sea birds at sea from ship as suggested by Tasker et al. (1984) have been widely accepted as a satisfactory basis for quantitative judgements of relative seabird abundance. However, modifications of the standard method are necessary to account for the reduced detectability of species such as the red- and black-throated divers moving out of the transect as the ship approaches (Webb & Durinck 1992)."""
Plumage-based ageing criteria for the Black-footed Albatross Phoebastria nigripes,2001_2005,2002,Hyrenbach,Mar Ornithol,30:85-93,08-1996,04-2000,"196, 197, 173, 172",north,oceanic,strip_transect,tasker,continuous,research_fishing,10min,NA,300m,not specified,not specified,1,1,not specified,pooled,NA,CalCOFI,"natural_history, distribution",qualitative,
Foraging behavior and resource partitioning by diving birds during winter in areas of strong tidal currents,2001_2005,2002,Holm and Burger,Waterbirds,25:312-325,11-1998,02-1999,220,north,coastal,strip_transect,other,continuous,none_assumed,uninterrupted,NA,150m,not specified,2,2,2,yes_foraging,not specified,NA,None,distribution,"qualitative, modelling, hypothesis_testing",
Seabirds and marine oil incidents--is it possible to predict the spatial distribution of pelagic seabirds,2001_2005,2002,Fauchald et al,J Appl Ecol,39:349-360,01-1986,03-1994,"254, 253, 255",north,oceanic,strip_transect,other,continuous,research_fishing,uninterrupted,NA,300m,10,12,1,1,yes,not specified,NA,None,distribution,"modelling, spatial_stats",
"Effects of the Juan de Fuca Eddy and upwelling on densities and distributions of seabirds off southwest Vancouver Island, British Columbia",2001_2005,2003,Burger,Mar Ornithol,31:113-122,05-1993,12-1995,220,north,coastal,strip_transect,other,continuous,none_assumed,uninterrupted,NA,150m,8,2.5,2,2,yes,not specified,NA,None,distribution,"hypothesis_testing, qualitative",storm petrel included either flying or on the water
"A low-cost, year-round seabird monitoring programme in the English channel and Bay of Biscay--preliminary results 1995-2001",2001_2005,2003,Brereton et al,Ornis Hung,12-13:105-113,08-1995,07-2000,"228, 204",north,oceanic,strip_transect,other,continuous,none_assumed,uninterrupted,NA,1000m,18,32,2,not specified,no,counted once then ignored,NA,BDRP,distribution,qualitative,
"A low-cost, year-round seabird monitoring programme in the English channel and Bay of Biscay--preliminary results 1995-2001",2001_2005,2003,Brereton et al,Ornis Hung,12-13:105-113,08-2000,02-2001,"228, 204",north,oceanic,strip_transect,other,continuous,none_assumed,uninterrupted,NA,"distance intervals (300, 1000m)",18,32,2,not specified,no,counted once then ignored,NA,BDRP,distribution,qualitative,
The influence of fish behaviour on search strategies of common murres Uria aalge in the northwest Atlantic,2001_2005,2003,Davoren et al,Mar Ornithol,31:123-131,07-2000,07-2000,225,north,oceanic,strip_transect,tasker,continuous,research_fishing,uninterrupted,NA,300m,not specified,3,1,1,no,not specified,NA,None,"distribution, predator_prey","qualitative, modelling",
"Distribution, abundance and behaviour of Bullers, Chatham Island and Salvins Albatrosses off Chile and Peru",2001_2005,2003,Spear et al,Ibis,145:253-259,1980,1995,"127, 103, 104, 79, 80, 55",south,oceanic,strip_transect,spear,continuous,none_assumed,uninterrupted,NA,400-600m,not specified,14,1,2-3,no,not recorded,NA,None,"distribution, natural_history, abundance","hypothesis_testing, multivariate, modelling",
The significance of southwest Greenland as winter quarters for seabirds,2001_2005,2004,Boertmann et al,Bird Conserv Int,14:87-112,02-1989,03-1989,249,north,oceanic,strip_transect,tasker,snapshot,none_assumed,10min,not specified,"distance intervals (150, 300, >300m)",not specified,not specified,1,1,not specified,not specified,NA,None,distribution,qualitative,"The authors used ship-based survey data from Durinck & Falk 1996 (Polar Res), from where I extracted the data"
